Plate,Well,Characteristics [Organism 1],Term Source 1 REF,Term Source 1 Accession,Characteristics [Organism 2],Term Source 2 REF,Term Source 2 Accession,Characteristics [Cell Line],Term Source 3 REF,Term Source 3 Accession,Compound Name,Compound SMILES,Compound IUPAC Name,Compound PubChem CID,Compound PubChem URL,Compound Unichem URL,Compound InChIKey,Compound Broad Identifier,Control Type,Quality Control,Channels,Percentage Inhibition (DPC),Hit Compound (over 75% activity),Phenotype Annotation Level,Number of Cells (DPC)
ESP0025843,D3,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,SNAP-5089,COC(=O)C1=C(C)NC(C)=C(C(=O)NCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C1c1ccc([N+](=O)[O-])cc1,"5-[[[3-(4,4-Diphenyl-1-piperidinyl)propyl]amino]carbonyl]-1,4-dihydro-2,6-dimethyl-4-(4-nitrophenyl)-3-pyridinecarboxylic acid methyl ester hydrochloride",10326374,https://pubchem.ncbi.nlm.nih.gov/compound/10326374,https://www.ebi.ac.uk/unichem/rest/inchikey/FIIXCJGBCCCOQQ-XIFFEERXSA-N,FIIXCJGBCCCOQQ-XIFFEERXSA-N,"BRD-A21428877-003-02-7,BRD-A21428877-003-03-9",,pass,cell body,"-7,36",no,well level,5951
ESP0025843,D4,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,"4-Hydroxy-2,2,6,6-tetramethyl-piperidinooxy,98%,free radical",CC1(C)CC(O)CC(C)(C)N1O,"1-hydroxy-2,2,6,6-tetramethyl-piperidin-4-ol",5395,https://pubchem.ncbi.nlm.nih.gov/compound/5395,https://www.ebi.ac.uk/unichem/rest/inchikey/CSGAUKGQUCHWDP-UHFFFAOYSA-N,CSGAUKGQUCHWDP-UHFFFAOYSA-N,"BRD-K95053546-001-03-5,BRD-K95053546-001-02-7,BRD-K95053546-001-01-9",,pass,cell body,"-6,98",no,well level,6025
ESP0025843,D5,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,INCB 3284,COc1ccc([C@]2(O)CC[C@H](N3CC[C@@H](NC(=O)CNC(=O)c4cccc(C(F)(F)F)c4)C3)CC2)cn1,N-[2-({(3R)-1-[4-hydroxy-4-(6-methoxy-3-pyridinyl)cyclohexyl]pyrrolidinyl}amino)-2-oxoethyl]-3-(trifluoromethyl)benzamide,11527661,https://pubchem.ncbi.nlm.nih.gov/compound/11527661,https://www.ebi.ac.uk/unichem/rest/inchikey/NXZNYBUBXWWKCP-JMOWIOHXSA-N,NXZNYBUBXWWKCP-JMOWIOHXSA-N,BRD-K28059174-334-01-2,,pass,cell body,"-4,78",no,well level,6462
ESP0025843,D6,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,JTC-801,CCc1ccc(OCc2ccccc2C(=O)Nc2ccc3nc(C)cc(N)c3c2)cc1,N-(4-Amino-2-methyl-6-quinolinyl)-2-[(4-ethylphenoxy)methyl]benzamide hydrochloride,5311340,https://pubchem.ncbi.nlm.nih.gov/compound/5311340,https://www.ebi.ac.uk/unichem/rest/inchikey/VTGBZWHPJFMTKS-UHFFFAOYSA-N,VTGBZWHPJFMTKS-UHFFFAOYSA-N,"BRD-K17705806-003-06-9,BRD-K17705806-003-04-4,BRD-K17705806-003-03-6",,pass,cell body,"-4,27",no,well level,6563
ESP0025843,D7,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,stobadine,CN1CCC2Nc3ccc(C)cc3C2C1,"2,8-dimethyl-1,3,4,4a,5,9b-hexahydropyrido[4,3-b]indole",108089,https://pubchem.ncbi.nlm.nih.gov/compound/108089,https://www.ebi.ac.uk/unichem/rest/inchikey/CYJQCYXRNNCURD-DGCLKSJQSA-N,CYJQCYXRNNCURD-DGCLKSJQSA-N,BRD-K33839500-001-01-0,,pass,cell body,"-10,58",no,well level,5312
ESP0025843,D8,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,tromaril,OC(=O)C=1C=CC=CC1NCCC=2C=CC=CC2,2-[(2-phenylethyl)amino]benzoic acid,31635,https://pubchem.ncbi.nlm.nih.gov/compound/31635,https://www.ebi.ac.uk/unichem/rest/inchikey/HLNLBEFKHHCAMV-UHFFFAOYSA-N,HLNLBEFKHHCAMV-UHFFFAOYSA-N,"BRD-K91422571-001-02-9,BRD-K91422571-001-01-8",,pass,cell body,"-4,91",no,well level,6437
ESP0025843,D9,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,caracemide,CNC(=O)ON(C(=O)C)C(=O)NC,N-(methylcarbamoyl)acetamido N-methylcarbamate,54747,https://pubchem.ncbi.nlm.nih.gov/compound/54747,https://www.ebi.ac.uk/unichem/rest/inchikey/JURAJLFHWXNPHG-UHFFFAOYSA-N,JURAJLFHWXNPHG-UHFFFAOYSA-N,BRD-K62790656-001-01-1,,pass,cell body,"2,97",no,well level,7999
ESP0025843,D10,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,volinanserin,FC1=CC=C(CCN2CCC([C@@H](O)C3=CC=CC(OC)=C3OC)CC2)C=C1,"(R)-(2,3-dimethoxyphenyl)-[1-[2-(4-fluorophenyl)ethyl]-4-piperidyl]methanol",5311271,https://pubchem.ncbi.nlm.nih.gov/compound/5311271,https://www.ebi.ac.uk/unichem/rest/inchikey/HXTGXYRHXAGCFP-OAQYLSRUSA-N,HXTGXYRHXAGCFP-OAQYLSRUSA-N,"BRD-K23647661-001-03-0,BRD-K23647661-001-02-2",,pass,cell body,"-6,94",no,well level,6034
ESP0025843,D11,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,LTA,N=C(NC=1C=CC=CC1)C2=CC=CS2,N-phenylthiophene-2-carboximidamide,10219864,https://pubchem.ncbi.nlm.nih.gov/compound/10219864,https://www.ebi.ac.uk/unichem/rest/inchikey/RCORNHOUCUDCAC-UHFFFAOYSA-N,RCORNHOUCUDCAC-UHFFFAOYSA-N,BRD-K52914072-001-01-5,,pass,cell body,"-6,99",no,well level,6024
ESP0025843,D12,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,,,,,,,,,positive,pass,cell body,"-4,42",control,well level,6533
ESP0025843,E1,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,piricapiron,CC1(C)C2CCC1(C)C(=O)N(CCCCN1CCN(CC1)c1ccccn1)C2=O,"1,8,8-trimethyl-3-[4-[4-(2-pyridyl)piperazin-1-yl]butyl]-3-azabicyclo[3.2.1]octane-2,4-dione",2772320,https://pubchem.ncbi.nlm.nih.gov/compound/2772320,https://www.ebi.ac.uk/unichem/rest/inchikey/NCMIPRCQUMYAEC-UHFFFAOYSA-N,NCMIPRCQUMYAEC-UHFFFAOYSA-N,,,pass,cell body,"1,86",no,well level,7780
ESP0025843,E2,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,tyrphostin-AG-99,NC(=O)C(=C\c1ccc(O)c(O)c1)\C#N,"(E)-2-cyano-3-(3,4-dihydroxyphenyl)prop-2-enamide",5328768,https://pubchem.ncbi.nlm.nih.gov/compound/5328768,https://www.ebi.ac.uk/unichem/rest/inchikey/USOXQZNJFMKTKJ-XVNBXDOJSA-N,USOXQZNJFMKTKJ-XVNBXDOJSA-N,"BRD-K60184833-001-06-9,BRD-K60184833-001-05-6",,pass,cell body,"-7,52",no,well level,5919
ESP0025843,E3,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,scriptaid,O=C(CCCCCN1C(=O)c2cccc3cccc(c23)C1=O)NO,"N-Hydroxy-1,3-dioxo-1H-benz[de]isoquinoline-2(3H)-hexanamide",5186,https://pubchem.ncbi.nlm.nih.gov/compound/5186,https://www.ebi.ac.uk/unichem/rest/inchikey/JTDYUFSDZATMKU-UHFFFAOYSA-N,JTDYUFSDZATMKU-UHFFFAOYSA-N,"BRD-K22503835-001-12-8,BRD-K22503835-001-11-0",,pass,cell body,"-7,62",no,well level,5899
ESP0025843,E4,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,Acitazanolast,OC(=O)C(=O)Nc1cccc(c1)c2nn[nH]n2,2-oxo-2-[3-(2H-tetrazol-5-yl)anilino]acetic acid,2006,https://pubchem.ncbi.nlm.nih.gov/compound/2006,https://www.ebi.ac.uk/unichem/rest/inchikey/VWQZJJZGISNFOE-UHFFFAOYSA-N,VWQZJJZGISNFOE-UHFFFAOYSA-N,"BRD-K74236708-001-02-7,BRD-K74236708-001-01-9",,pass,cell body,"-8,96",no,well level,5633
ESP0025843,E5,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,"3-Hexene-3,4-diylbis(4,1-phenylene)bis[dihydrogen (phosphate)]",CC\C(=C(\CC)/c1ccc(OP(=O)(O)O)cc1)\c2ccc(OP(=O)(O)O)cc2,[4-[(E)-1-ethyl-2-(4-phosphonooxyphenyl)but-1-enyl]phenyl] dihydrogen phosphate,3032325,https://pubchem.ncbi.nlm.nih.gov/compound/3032325,https://www.ebi.ac.uk/unichem/rest/inchikey/NLORYLAYLIXTID-ISLYRVAYSA-N,NLORYLAYLIXTID-ISLYRVAYSA-N,BRD-K20801936-001-01-9,,pass,cell body,"-8,19",no,well level,5785
ESP0025843,E6,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,PNU-89843,Cc1cc2c(N3CCCC3)nc(N3CCCC3)nc2n1C,"6,7-Dimethyl-2,4-di-1-pyrrolidinyl-7H-pyrrolo[2,3-d]pyrimidine hydrochloride",154689,https://pubchem.ncbi.nlm.nih.gov/compound/154689,https://www.ebi.ac.uk/unichem/rest/inchikey/UADIKEUOAMACNA-UHFFFAOYSA-N,UADIKEUOAMACNA-UHFFFAOYSA-N,BRD-K84507776-003-01-4,,pass,cell body,"-9,19",no,well level,5588
ESP0025843,E7,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,emoxipin,CCC=1N=C(C)C=CC1O,2-ethyl-6-methylpyridin-3-ol,114681,https://pubchem.ncbi.nlm.nih.gov/compound/114681,https://www.ebi.ac.uk/unichem/rest/inchikey/JPGDYIGSCHWQCC-UHFFFAOYSA-N,JPGDYIGSCHWQCC-UHFFFAOYSA-N,BRD-K28982731-001-01-6,,pass,cell body,"-6,29",no,well level,6162
ESP0025843,E8,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,perchlozone,NC(=S)NN=Cc1ccncc1,(4-pyridylmethyleneamino)thiourea,1655860,https://pubchem.ncbi.nlm.nih.gov/compound/1655860,https://www.ebi.ac.uk/unichem/rest/inchikey/QTSJJDIDTYFLFC-UHFFFAOYSA-N,QTSJJDIDTYFLFC-UHFFFAOYSA-N,,,pass,cell body,"-5,24",no,well level,6371
ESP0025843,E9,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,difenpiramide,O=C(CC=1C=CC(=CC1)C=2C=CC=CC2)NC=3C=CC=CN3,"2-{[1,1'-biphenyl]-4-yl}-N-(pyridin-2-yl)acetamide",100472,https://pubchem.ncbi.nlm.nih.gov/compound/100472,https://www.ebi.ac.uk/unichem/rest/inchikey/PWHROYKAGRUWDQ-UHFFFAOYSA-N,PWHROYKAGRUWDQ-UHFFFAOYSA-N,BRD-K96206066-001-07-9,,pass,cell body,"-5,49",no,well level,6321
ESP0025843,E10,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,caricotamide,NC(=O)CN1C=CCC(=C1)C(=O)N,"1-(carbamoylmethyl)-1,4-dihydropyridine-3-carboxamide",403128,https://pubchem.ncbi.nlm.nih.gov/compound/403128,https://www.ebi.ac.uk/unichem/rest/inchikey/WEJRSYKFMCUCRQ-UHFFFAOYSA-N,WEJRSYKFMCUCRQ-UHFFFAOYSA-N,BRD-K90215590-001-01-4,,pass,cell body,"-6,87",no,well level,6048
ESP0025843,E11,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,o-mercapto-benzoic-acid,OC(=O)C=1C=CC=CC1S,2-sulfanylbenzoic acid,5443,https://pubchem.ncbi.nlm.nih.gov/compound/5443,https://www.ebi.ac.uk/unichem/rest/inchikey/NBOMNTLFRHMDEZ-UHFFFAOYSA-N,NBOMNTLFRHMDEZ-UHFFFAOYSA-N,BRD-K36998189-001-03-5,,pass,cell body,"-6,49",no,well level,6122
ESP0025843,E12,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,,,,,,,,,positive,pass,cell body,"98,83",control,well level,27018
ESP0025843,F1,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,diphenylguanidine,N=C(Nc1ccccc1)Nc1ccccc1,"1,3-diphenylguanidine",7594,https://pubchem.ncbi.nlm.nih.gov/compound/7594,https://www.ebi.ac.uk/unichem/rest/inchikey/OWRCNXZUPFZXOS-UHFFFAOYSA-N,OWRCNXZUPFZXOS-UHFFFAOYSA-N,"BRD-K12362304-001-07-3,BRD-K12362304-001-08-9",,pass,cell body,"-6,79",no,well level,6064
ESP0025843,F2,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,NHI-2,COC(=O)c1cc2c(C(F)(F)F)cc(-c3ccccc3)cc2n1O,Methyl 1-hydroxy-6-phenyl-4-(trifluoromethyl)-1H-indole-2-carboxylate,51355147,https://pubchem.ncbi.nlm.nih.gov/compound/51355147,https://www.ebi.ac.uk/unichem/rest/inchikey/YPPFWRWCZNXINO-UHFFFAOYSA-N,YPPFWRWCZNXINO-UHFFFAOYSA-N,"BRD-K05653025-001-01-5,BRD-K05653025-001-02-9",,pass,cell body,"-2,67",no,well level,6881
ESP0025843,F3,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,flurofamide,NP(N)(=O)NC(=O)c1ccc(F)cc1,N-diaminophosphoryl-4-fluoro-benzamide,51173,https://pubchem.ncbi.nlm.nih.gov/compound/51173,https://www.ebi.ac.uk/unichem/rest/inchikey/QWZFVMCWPLMLTL-UHFFFAOYSA-N,QWZFVMCWPLMLTL-UHFFFAOYSA-N,"BRD-K67445247-001-04-7,BRD-K67445247-001-03-9,BRD-K67445247-001-02-1",,pass,cell body,"-8,48",no,well level,5727
ESP0025843,F4,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,MDL-27531,Cn1c(nnc1S(=O)(=O)C)c2ccccc2,"4-methyl-3-methylsulfonyl-5-phenyl-1,2,4-triazole",164013,https://pubchem.ncbi.nlm.nih.gov/compound/164013,https://www.ebi.ac.uk/unichem/rest/inchikey/DPGDRICHXKQXEN-UHFFFAOYSA-N,DPGDRICHXKQXEN-UHFFFAOYSA-N,BRD-K50888640-001-01-6,,pass,cell body,"-9,62",no,well level,5502
ESP0025843,F5,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,PARICALCITOL,C[C@H](\C=C\[C@H](C)C(C)(C)O)[C@H]1CC[C@H]2\C(=C\C=C3C[C@@H](O)C[C@H](O)C3)\CCC[C@]12C,"(1R,3R)-5-[(2E)-2-[(1R,3aS,7aR)-7a-methyl-1-[(E,1R,4S)-5-hydroxy-1,4,5-trimethyl-hex-2-enyl]-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]cyclohexane-1,3-diol",5281104,https://pubchem.ncbi.nlm.nih.gov/compound/5281104,https://www.ebi.ac.uk/unichem/rest/inchikey/BPKAHTKRCLCHEA-UBFJEZKGSA-N,BPKAHTKRCLCHEA-UBFJEZKGSA-N,"BRD-K60585088-001-03-9,BRD-K60585088-001-01-5",,pass,cell body,"-10,23",no,well level,5380
ESP0025843,F6,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,T-0070907,O=C(Nc1ccncc1)c1cc([N+](=O)[O-])ccc1Cl,2-Chloro-5-nitro-N-4-pyridinylbenzamide,2777391,https://pubchem.ncbi.nlm.nih.gov/compound/2777391,https://www.ebi.ac.uk/unichem/rest/inchikey/FRPJSHKMZHWJBE-UHFFFAOYSA-N,FRPJSHKMZHWJBE-UHFFFAOYSA-N,"BRD-K31843556-001-05-8,BRD-K31843556-001-04-1,BRD-K31843556-001-07-9,BRD-K31843556-001-03-3",,pass,cell body,"-4,14",no,well level,6589
ESP0025843,F7,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,timofibrate,CC(C)(OC=1C=CC(Cl)=CC1)C(=O)N2CSCC2C(=O)O,"3-[2-(4-chlorophenoxy)-2-methylpropanoyl]-1,3-thiazolidine-4-carboxylic acid",51371472,https://pubchem.ncbi.nlm.nih.gov/compound/51371472,https://www.ebi.ac.uk/unichem/rest/inchikey/QSNOWCXXECLALL-LLVKDONJSA-N,QSNOWCXXECLALL-LLVKDONJSA-N,"BRD-A64406146-001-01-2,BRD-A64406146-001-02-9",,pass,cell body,"-12,19",no,well level,4991
ESP0025843,F8,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,pikamilone,OC(=O)CCCNC(=O)C=1C=CC=NC1,4-[(pyridin-3-yl)formamido]butanoic acid,60608,https://pubchem.ncbi.nlm.nih.gov/compound/60608,https://www.ebi.ac.uk/unichem/rest/inchikey/NAJVRARAUNYNDX-UHFFFAOYSA-N,NAJVRARAUNYNDX-UHFFFAOYSA-N,BRD-K56691760-001-01-2,,pass,cell body,"-5,9",no,well level,6240
ESP0025843,F9,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,fanetizole,C(CC=1C=CC=CC1)NC2=NC(=CS2)C=3C=CC=CC3,"4-phenyl-N-(2-phenylethyl)-1,3-thiazol-2-amine",54339,https://pubchem.ncbi.nlm.nih.gov/compound/54339,https://www.ebi.ac.uk/unichem/rest/inchikey/WEEYMMXMBFJUAI-UHFFFAOYSA-N,WEEYMMXMBFJUAI-UHFFFAOYSA-N,BRD-K60798049-001-03-8,,pass,cell body,"-4,71",no,well level,6475
ESP0025843,F10,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,seclazone,ClC=1C=CC=2OC3CCON3C(=O)C2C1,"11-chloro-2,6-dioxa-7-azatricyclo[7.4.0.0?,?]trideca-1(13),9,11-trien-8-one",76966156,https://pubchem.ncbi.nlm.nih.gov/compound/76966156,https://www.ebi.ac.uk/unichem/rest/inchikey/XWXVKXXKKLBDDJ-VIFPVBQESA-N,XWXVKXXKKLBDDJ-VIFPVBQESA-N,BRD-A53472930-001-01-7,,pass,cell body,"-4,47",no,well level,6524
ESP0025843,F11,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,ezutromid,CCN(CC)c1ccc(cc1)-n1nc2cc(C)c(N)cc2n1,2-[4-(diethylamino)phenyl]-6-methyl-benzotriazol-5-amine,886736,https://pubchem.ncbi.nlm.nih.gov/compound/886736,https://www.ebi.ac.uk/unichem/rest/inchikey/WRIPKYOZKAJHRL-UHFFFAOYSA-N,WRIPKYOZKAJHRL-UHFFFAOYSA-N,BRD-K25570267-001-01-4,,pass,cell body,"-5,9",no,well level,6240
ESP0025843,F12,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,,,,,,,,,positive,pass,cell body,"103,32",control,well level,27908
ESP0025843,G1,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,TC1,OC12C3C4CC5C6C4C1C6C(C53)N2CCc1cccc(F)c1,"(N-(3'-Fluorophenyl)ethyl-4-azahexacyclo[5.4.1.02,6.03,10.05,9.08,11]dodecan-3-ol",10040286,https://pubchem.ncbi.nlm.nih.gov/compound/10040286,https://www.ebi.ac.uk/unichem/rest/inchikey/FYGREZKTJIXWIH-UHFFFAOYSA-N,FYGREZKTJIXWIH-UHFFFAOYSA-N,,,pass,cell body,"-4,85",no,well level,6449
ESP0025843,G2,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,DAPT,C[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)N[C@H](C(=O)OC(C)(C)C)c1ccccc1,"(2S)-N-[(3,5-Difluorophenyl)acetyl]-L-alanyl-2-phenyl]glycine 1,1-dimethylethyl ester",5311272,https://pubchem.ncbi.nlm.nih.gov/compound/5311272,https://www.ebi.ac.uk/unichem/rest/inchikey/DWJXYEABWRJFSP-XOBRGWDASA-N,DWJXYEABWRJFSP-XOBRGWDASA-N,"BRD-K47177710-001-04-9,BRD-K47177710-001-03-1,BRD-K47177710-001-05-9,BRD-K47177710-001-02-3",,pass,cell body,"-7,09",no,well level,6003
ESP0025843,G3,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,YM-298198-desmethyl,Cc1c(C(=O)NC2CCCCC2)sc2nc3ccc(N)cc3n12,"6-Amino-N-cyclohexyl-3-methylthiazolo[3,2-a]benzimidazole-2-carboxamide hydrochloride",11716890,https://pubchem.ncbi.nlm.nih.gov/compound/11716890,https://www.ebi.ac.uk/unichem/rest/inchikey/VWOMTTIMBHBPBI-UHFFFAOYSA-N,VWOMTTIMBHBPBI-UHFFFAOYSA-N,"BRD-K48059230-003-02-9,BRD-K48059230-003-03-9",,pass,cell body,"-6,43",no,well level,6135
ESP0025843,G4,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,trans-2-Undecenoic acid,CCCCCCCC/C=C/C(=O)O,(2E)-2-undecenoic acid,5282728,https://pubchem.ncbi.nlm.nih.gov/compound/5282728,https://www.ebi.ac.uk/unichem/rest/inchikey/IGBBVTAVILYDIO-MDZDMXLPSA-N,IGBBVTAVILYDIO-MDZDMXLPSA-N,BRD-K42959922-001-01-5,,pass,cell body,"-9,28",no,well level,5569
ESP0025843,G5,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,Octadecan-1-ol,CCCCCCCCCCCCCCCCCCO,1-octadecanol,8221,https://pubchem.ncbi.nlm.nih.gov/compound/8221,https://www.ebi.ac.uk/unichem/rest/inchikey/GLDOVTGHNKAZLK-UHFFFAOYSA-N,GLDOVTGHNKAZLK-UHFFFAOYSA-N,BRD-K20501889-001-02-0,,pass,cell body,"-3,72",no,well level,6672
ESP0025843,G6,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,necrostatin-1,CN1C(=O)C(Cc2c[nH]c3ccccc23)NC1=S,5-(1H-Indol-3-ylmethyl)-3-methyl-2-thioxo-4-imidazolidinone,2828334,https://pubchem.ncbi.nlm.nih.gov/compound/2828334,https://www.ebi.ac.uk/unichem/rest/inchikey/TXUWMXQFNYDOEZ-UHFFFAOYSA-N,TXUWMXQFNYDOEZ-UHFFFAOYSA-N,,,pass,cell body,"-8,61",no,well level,5703
ESP0025843,G7,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,picolinic-acid,OC(=O)C=1C=CC=CN1,pyridine-2-carboxylic acid,56840998,https://pubchem.ncbi.nlm.nih.gov/compound/56840998,https://www.ebi.ac.uk/unichem/rest/inchikey/CBDQOLKNTOMMTL-UHFFFAOYSA-K,CBDQOLKNTOMMTL-UHFFFAOYSA-K,"BRD-K01029106-001-02-9,BRD-K01029106-001-01-4",,pass,cell body,"-4,94",no,well level,6431
