Plate,Well,Characteristics [Organism 1],Term Source 1 REF,Term Source 1 Accession,Characteristics [Organism 2],Term Source 2 REF,Term Source 2 Accession,Characteristics [Cell Line],Term Source 3 REF,Term Source 3 Accession,Compound Identifier,Compound Name,Compound SMILES,Compound IUPAC Name,Compound PubChem CID,Compound PubChem URL,Compound Unichem URL,Compound Broad Identifier,Control Type,Channels,Compound Concentration (microMolar),Percentage Inhibition (DPC),Cells - Number of Objects,Hit Compound (over 75% activity),Phenoptye Annotation Level
ESP0025728,A6,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K78781788,Barnidipine HCl,COC(=O)C1=C(C)NC(=C([C@H]1c2cccc(c2)[N+](=O)[O-])C(=O)O[C@H]3CCN(Cc4ccccc4)C3)C,"O5-[(3S)-1-benzylpyrrolidin-3-yl] O3-methyl (4S)-2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",443869,https://pubchem.ncbi.nlm.nih.gov/compound/443869,https://www.ebi.ac.uk/unichem/rest/inchikey/VXMOONUMYLCFJD-DHLKQENFSA-N,BRD-K78781788-003-01-9,,cell body,20,"85,27",25779,yes,well level
ESP0025728,A7,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K14658796,drotaverine,CCOc1ccc(\C=C2\NCCc3cc(OCC)c(OCC)cc23)cc1OCC,"(1E)-1-[(3,4-diethoxyphenyl)methylene]-6,7-diethoxy-3,4-dihydro-2H-isoquinoline",6437862,https://pubchem.ncbi.nlm.nih.gov/compound/6437862,https://www.ebi.ac.uk/unichem/rest/inchikey/OMFNSKIUKYOYRG-DEDYPNTBSA-N,,,cell body,20,"78,39",24527,yes,well level
ESP0025728,A11,,,,,,,,,,,,,,,,,,positive,cell body,0,"2,88",10803,,
ESP0025728,A12,,,,,,,,,,,,,,,,,,negative,cell body,0,"99,84",28426,,
ESP0025728,B3,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_A58955223,sulforaphane,CS(=O)CCCCN=C=S,1-isothiocyanato-4-methylsulfinyl-butane,9577379,https://pubchem.ncbi.nlm.nih.gov/compound/9577379,https://www.ebi.ac.uk/unichem/rest/inchikey/SUVMJBTUFCVSAD-SNVBAGLBSA-N,BRD-A58955223-001-03-8,,cell body,"6,3","32,3",16151,yes,well level
ESP0025728,B5,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K36756879,ETHAVERINE HYDROCHLORIDE,CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC,"1-[(3,4-diethoxyphenyl)methyl]-6,7-diethoxy-isoquinoline",3280,https://pubchem.ncbi.nlm.nih.gov/compound/3280,https://www.ebi.ac.uk/unichem/rest/inchikey/ZOWYFYXTIWQBEP-UHFFFAOYSA-N,"BRD-K36756879-003-08-7,BRD-K36756879-001-09-9",,cell body,"6,3","89,37",26524,yes,well level
ESP0025728,B6,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K78781788,Barnidipine HCl,COC(=O)C1=C(C)NC(=C([C@H]1c2cccc(c2)[N+](=O)[O-])C(=O)O[C@H]3CCN(Cc4ccccc4)C3)C,"O5-[(3S)-1-benzylpyrrolidin-3-yl] O3-methyl (4S)-2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",443869,https://pubchem.ncbi.nlm.nih.gov/compound/443869,https://www.ebi.ac.uk/unichem/rest/inchikey/VXMOONUMYLCFJD-DHLKQENFSA-N,BRD-K78781788-003-01-9,,cell body,"6,3","-27,28",5322,yes,well level
ESP0025728,B7,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K14658796,drotaverine,CCOc1ccc(\C=C2\NCCc3cc(OCC)c(OCC)cc23)cc1OCC,"(1E)-1-[(3,4-diethoxyphenyl)methylene]-6,7-diethoxy-3,4-dihydro-2H-isoquinoline",6437862,https://pubchem.ncbi.nlm.nih.gov/compound/6437862,https://www.ebi.ac.uk/unichem/rest/inchikey/OMFNSKIUKYOYRG-DEDYPNTBSA-N,,,cell body,"6,3","49,62",19299,yes,well level
ESP0025728,B11,,,,,,,,,,,,,,,,,,positive,cell body,0,"5,8",11335,,
ESP0025728,B12,,,,,,,,,,,,,,,,,,negative,cell body,0,"99,96",28448,,
ESP0025728,C3,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_A58955223,sulforaphane,CS(=O)CCCCN=C=S,1-isothiocyanato-4-methylsulfinyl-butane,9577379,https://pubchem.ncbi.nlm.nih.gov/compound/9577379,https://www.ebi.ac.uk/unichem/rest/inchikey/SUVMJBTUFCVSAD-SNVBAGLBSA-N,BRD-A58955223-001-03-8,,cell body,2,"9,08",11930,yes,well level
ESP0025728,C5,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K36756879,ETHAVERINE HYDROCHLORIDE,CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC,"1-[(3,4-diethoxyphenyl)methyl]-6,7-diethoxy-isoquinoline",3280,https://pubchem.ncbi.nlm.nih.gov/compound/3280,https://www.ebi.ac.uk/unichem/rest/inchikey/ZOWYFYXTIWQBEP-UHFFFAOYSA-N,"BRD-K36756879-003-08-7,BRD-K36756879-001-09-9",,cell body,2,"54,45",20177,yes,well level
ESP0025728,C6,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K78781788,Barnidipine HCl,COC(=O)C1=C(C)NC(=C([C@H]1c2cccc(c2)[N+](=O)[O-])C(=O)O[C@H]3CCN(Cc4ccccc4)C3)C,"O5-[(3S)-1-benzylpyrrolidin-3-yl] O3-methyl (4S)-2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",443869,https://pubchem.ncbi.nlm.nih.gov/compound/443869,https://www.ebi.ac.uk/unichem/rest/inchikey/VXMOONUMYLCFJD-DHLKQENFSA-N,BRD-K78781788-003-01-9,,cell body,2,"-32,45",4383,yes,well level
ESP0025728,C7,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K14658796,drotaverine,CCOc1ccc(\C=C2\NCCc3cc(OCC)c(OCC)cc23)cc1OCC,"(1E)-1-[(3,4-diethoxyphenyl)methylene]-6,7-diethoxy-3,4-dihydro-2H-isoquinoline",6437862,https://pubchem.ncbi.nlm.nih.gov/compound/6437862,https://www.ebi.ac.uk/unichem/rest/inchikey/OMFNSKIUKYOYRG-DEDYPNTBSA-N,,,cell body,2,"-4,03",9547,yes,well level
ESP0025728,C11,,,,,,,,,,,,,,,,,,positive,cell body,0,"0,78",10422,,
ESP0025728,C12,,,,,,,,,,,,,,,,,,negative,cell body,0,"99,82",28423,,
ESP0025728,D3,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_A58955223,sulforaphane,CS(=O)CCCCN=C=S,1-isothiocyanato-4-methylsulfinyl-butane,9577379,https://pubchem.ncbi.nlm.nih.gov/compound/9577379,https://www.ebi.ac.uk/unichem/rest/inchikey/SUVMJBTUFCVSAD-SNVBAGLBSA-N,BRD-A58955223-001-03-8,,cell body,"0,63","-6,89",9027,yes,well level
ESP0025728,D5,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K36756879,ETHAVERINE HYDROCHLORIDE,CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC,"1-[(3,4-diethoxyphenyl)methyl]-6,7-diethoxy-isoquinoline",3280,https://pubchem.ncbi.nlm.nih.gov/compound/3280,https://www.ebi.ac.uk/unichem/rest/inchikey/ZOWYFYXTIWQBEP-UHFFFAOYSA-N,"BRD-K36756879-003-08-7,BRD-K36756879-001-09-9",,cell body,"0,63","73,36",23614,yes,well level
ESP0025728,D6,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K78781788,Barnidipine HCl,COC(=O)C1=C(C)NC(=C([C@H]1c2cccc(c2)[N+](=O)[O-])C(=O)O[C@H]3CCN(Cc4ccccc4)C3)C,"O5-[(3S)-1-benzylpyrrolidin-3-yl] O3-methyl (4S)-2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",443869,https://pubchem.ncbi.nlm.nih.gov/compound/443869,https://www.ebi.ac.uk/unichem/rest/inchikey/VXMOONUMYLCFJD-DHLKQENFSA-N,BRD-K78781788-003-01-9,,cell body,"0,63","-20,79",6501,yes,well level
ESP0025728,D7,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K14658796,drotaverine,CCOc1ccc(\C=C2\NCCc3cc(OCC)c(OCC)cc23)cc1OCC,"(1E)-1-[(3,4-diethoxyphenyl)methylene]-6,7-diethoxy-3,4-dihydro-2H-isoquinoline",6437862,https://pubchem.ncbi.nlm.nih.gov/compound/6437862,https://www.ebi.ac.uk/unichem/rest/inchikey/OMFNSKIUKYOYRG-DEDYPNTBSA-N,,,cell body,"0,63","2,28",10695,yes,well level
ESP0025728,D11,,,,,,,,,,,,,,,,,,positive,cell body,0,"5,99",11369,,
ESP0025728,D12,,,,,,,,,,,,,,,,,,negative,cell body,0,"97,49",28000,,
ESP0025728,E3,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_A58955223,sulforaphane,CS(=O)CCCCN=C=S,1-isothiocyanato-4-methylsulfinyl-butane,9577379,https://pubchem.ncbi.nlm.nih.gov/compound/9577379,https://www.ebi.ac.uk/unichem/rest/inchikey/SUVMJBTUFCVSAD-SNVBAGLBSA-N,BRD-A58955223-001-03-8,,cell body,"0,2","-3,12",9713,yes,well level
ESP0025728,E5,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K36756879,ETHAVERINE HYDROCHLORIDE,CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC,"1-[(3,4-diethoxyphenyl)methyl]-6,7-diethoxy-isoquinoline",3280,https://pubchem.ncbi.nlm.nih.gov/compound/3280,https://www.ebi.ac.uk/unichem/rest/inchikey/ZOWYFYXTIWQBEP-UHFFFAOYSA-N,"BRD-K36756879-003-08-7,BRD-K36756879-001-09-9",,cell body,"0,2","-13,49",7829,yes,well level
ESP0025728,E6,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K78781788,Barnidipine HCl,COC(=O)C1=C(C)NC(=C([C@H]1c2cccc(c2)[N+](=O)[O-])C(=O)O[C@H]3CCN(Cc4ccccc4)C3)C,"O5-[(3S)-1-benzylpyrrolidin-3-yl] O3-methyl (4S)-2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",443869,https://pubchem.ncbi.nlm.nih.gov/compound/443869,https://www.ebi.ac.uk/unichem/rest/inchikey/VXMOONUMYLCFJD-DHLKQENFSA-N,BRD-K78781788-003-01-9,,cell body,"0,2","-6,72",9059,yes,well level
ESP0025728,E7,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K14658796,drotaverine,CCOc1ccc(\C=C2\NCCc3cc(OCC)c(OCC)cc23)cc1OCC,"(1E)-1-[(3,4-diethoxyphenyl)methylene]-6,7-diethoxy-3,4-dihydro-2H-isoquinoline",6437862,https://pubchem.ncbi.nlm.nih.gov/compound/6437862,https://www.ebi.ac.uk/unichem/rest/inchikey/OMFNSKIUKYOYRG-DEDYPNTBSA-N,,,cell body,"0,2","70,96",23178,yes,well level
ESP0025728,E11,,,,,,,,,,,,,,,,,,positive,cell body,0,"90,83",26789,,
ESP0025728,E12,,,,,,,,,,,,,,,,,,negative,cell body,0,"89,64",26573,,
ESP0025728,F3,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_A58955223,sulforaphane,CS(=O)CCCCN=C=S,1-isothiocyanato-4-methylsulfinyl-butane,9577379,https://pubchem.ncbi.nlm.nih.gov/compound/9577379,https://www.ebi.ac.uk/unichem/rest/inchikey/SUVMJBTUFCVSAD-SNVBAGLBSA-N,BRD-A58955223-001-03-8,,cell body,63,"1,91",10628,yes,well level
ESP0025728,F5,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K36756879,ETHAVERINE HYDROCHLORIDE,CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC,"1-[(3,4-diethoxyphenyl)methyl]-6,7-diethoxy-isoquinoline",3280,https://pubchem.ncbi.nlm.nih.gov/compound/3280,https://www.ebi.ac.uk/unichem/rest/inchikey/ZOWYFYXTIWQBEP-UHFFFAOYSA-N,"BRD-K36756879-003-08-7,BRD-K36756879-001-09-9",,cell body,63,"-0,45",10199,yes,well level
ESP0025728,F6,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K78781788,Barnidipine HCl,COC(=O)C1=C(C)NC(=C([C@H]1c2cccc(c2)[N+](=O)[O-])C(=O)O[C@H]3CCN(Cc4ccccc4)C3)C,"O5-[(3S)-1-benzylpyrrolidin-3-yl] O3-methyl (4S)-2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",443869,https://pubchem.ncbi.nlm.nih.gov/compound/443869,https://www.ebi.ac.uk/unichem/rest/inchikey/VXMOONUMYLCFJD-DHLKQENFSA-N,BRD-K78781788-003-01-9,,cell body,63,"-11,22",8240,yes,well level
ESP0025728,F7,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K14658796,drotaverine,CCOc1ccc(\C=C2\NCCc3cc(OCC)c(OCC)cc23)cc1OCC,"(1E)-1-[(3,4-diethoxyphenyl)methylene]-6,7-diethoxy-3,4-dihydro-2H-isoquinoline",6437862,https://pubchem.ncbi.nlm.nih.gov/compound/6437862,https://www.ebi.ac.uk/unichem/rest/inchikey/OMFNSKIUKYOYRG-DEDYPNTBSA-N,,,cell body,63,"-1,62",9986,yes,well level
ESP0025728,F11,,,,,,,,,,,,,,,,,,positive,cell body,0,"1,58",10568,,
ESP0025728,F12,,,,,,,,,,,,,,,,,,negative,cell body,0,"102,31",28875,,
ESP0025728,G3,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_A58955223,sulforaphane,CS(=O)CCCCN=C=S,1-isothiocyanato-4-methylsulfinyl-butane,9577379,https://pubchem.ncbi.nlm.nih.gov/compound/9577379,https://www.ebi.ac.uk/unichem/rest/inchikey/SUVMJBTUFCVSAD-SNVBAGLBSA-N,BRD-A58955223-001-03-8,,cell body,"0,02","-6,7",9063,yes,well level
ESP0025728,G5,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K36756879,ETHAVERINE HYDROCHLORIDE,CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC,"1-[(3,4-diethoxyphenyl)methyl]-6,7-diethoxy-isoquinoline",3280,https://pubchem.ncbi.nlm.nih.gov/compound/3280,https://www.ebi.ac.uk/unichem/rest/inchikey/ZOWYFYXTIWQBEP-UHFFFAOYSA-N,"BRD-K36756879-003-08-7,BRD-K36756879-001-09-9",,cell body,"0,02","-2,93",9748,yes,well level
ESP0025728,G6,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K78781788,Barnidipine HCl,COC(=O)C1=C(C)NC(=C([C@H]1c2cccc(c2)[N+](=O)[O-])C(=O)O[C@H]3CCN(Cc4ccccc4)C3)C,"O5-[(3S)-1-benzylpyrrolidin-3-yl] O3-methyl (4S)-2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",443869,https://pubchem.ncbi.nlm.nih.gov/compound/443869,https://www.ebi.ac.uk/unichem/rest/inchikey/VXMOONUMYLCFJD-DHLKQENFSA-N,BRD-K78781788-003-01-9,,cell body,"0,02","-3,66",9615,yes,well level
ESP0025728,G7,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K14658796,drotaverine,CCOc1ccc(\C=C2\NCCc3cc(OCC)c(OCC)cc23)cc1OCC,"(1E)-1-[(3,4-diethoxyphenyl)methylene]-6,7-diethoxy-3,4-dihydro-2H-isoquinoline",6437862,https://pubchem.ncbi.nlm.nih.gov/compound/6437862,https://www.ebi.ac.uk/unichem/rest/inchikey/OMFNSKIUKYOYRG-DEDYPNTBSA-N,,,cell body,"0,02","-6,25",9144,yes,well level
ESP0025728,G11,,,,,,,,,,,,,,,,,,positive,cell body,0,"-3,84",9583,,
ESP0025728,G12,,,,,,,,,,,,,,,,,,negative,cell body,0,"100,4",28528,,
ESP0025728,H3,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_A58955223,sulforaphane,CS(=O)CCCCN=C=S,1-isothiocyanato-4-methylsulfinyl-butane,9577379,https://pubchem.ncbi.nlm.nih.gov/compound/9577379,https://www.ebi.ac.uk/unichem/rest/inchikey/SUVMJBTUFCVSAD-SNVBAGLBSA-N,BRD-A58955223-001-03-8,,cell body,"0,0064","-8,34",8765,yes,well level
ESP0025728,H5,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K36756879,ETHAVERINE HYDROCHLORIDE,CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC,"1-[(3,4-diethoxyphenyl)methyl]-6,7-diethoxy-isoquinoline",3280,https://pubchem.ncbi.nlm.nih.gov/compound/3280,https://www.ebi.ac.uk/unichem/rest/inchikey/ZOWYFYXTIWQBEP-UHFFFAOYSA-N,"BRD-K36756879-003-08-7,BRD-K36756879-001-09-9",,cell body,"0,0064","-10,27",8413,yes,well level
ESP0025728,H6,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K78781788,Barnidipine HCl,COC(=O)C1=C(C)NC(=C([C@H]1c2cccc(c2)[N+](=O)[O-])C(=O)O[C@H]3CCN(Cc4ccccc4)C3)C,"O5-[(3S)-1-benzylpyrrolidin-3-yl] O3-methyl (4S)-2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",443869,https://pubchem.ncbi.nlm.nih.gov/compound/443869,https://www.ebi.ac.uk/unichem/rest/inchikey/VXMOONUMYLCFJD-DHLKQENFSA-N,BRD-K78781788-003-01-9,,cell body,"0,0064","-17,3",7136,yes,well level
ESP0025728,H7,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K14658796,drotaverine,CCOc1ccc(\C=C2\NCCc3cc(OCC)c(OCC)cc23)cc1OCC,"(1E)-1-[(3,4-diethoxyphenyl)methylene]-6,7-diethoxy-3,4-dihydro-2H-isoquinoline",6437862,https://pubchem.ncbi.nlm.nih.gov/compound/6437862,https://www.ebi.ac.uk/unichem/rest/inchikey/OMFNSKIUKYOYRG-DEDYPNTBSA-N,,,cell body,"0,0064","15,37",13074,yes,well level
ESP0025728,H11,,,,,,,,,,,,,,,,,,positive,cell body,0,"-13,2",7881,,
ESP0025728,H12,,,,,,,,,,,,,,,,,,negative,cell body,0,"100,18",28488,,
ESP0025729,A3,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_A58955223,sulforaphane,CS(=O)CCCCN=C=S,1-isothiocyanato-4-methylsulfinyl-butane,9577379,https://pubchem.ncbi.nlm.nih.gov/compound/9577379,https://www.ebi.ac.uk/unichem/rest/inchikey/SUVMJBTUFCVSAD-SNVBAGLBSA-N,BRD-A58955223-001-03-8,,cell body,20,"25,49",16199,yes,well level
ESP0025729,A5,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K36756879,ETHAVERINE HYDROCHLORIDE,CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC,"1-[(3,4-diethoxyphenyl)methyl]-6,7-diethoxy-isoquinoline",3280,https://pubchem.ncbi.nlm.nih.gov/compound/3280,https://www.ebi.ac.uk/unichem/rest/inchikey/ZOWYFYXTIWQBEP-UHFFFAOYSA-N,"BRD-K36756879-003-08-7,BRD-K36756879-001-09-9",,cell body,20,"56,66",21605,yes,well level
ESP0025729,A6,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K78781788,Barnidipine HCl,COC(=O)C1=C(C)NC(=C([C@H]1c2cccc(c2)[N+](=O)[O-])C(=O)O[C@H]3CCN(Cc4ccccc4)C3)C,"O5-[(3S)-1-benzylpyrrolidin-3-yl] O3-methyl (4S)-2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",443869,https://pubchem.ncbi.nlm.nih.gov/compound/443869,https://www.ebi.ac.uk/unichem/rest/inchikey/VXMOONUMYLCFJD-DHLKQENFSA-N,BRD-K78781788-003-01-9,,cell body,20,"53,98",21141,yes,well level
ESP0025729,A7,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K14658796,drotaverine,CCOc1ccc(\C=C2\NCCc3cc(OCC)c(OCC)cc23)cc1OCC,"(1E)-1-[(3,4-diethoxyphenyl)methylene]-6,7-diethoxy-3,4-dihydro-2H-isoquinoline",6437862,https://pubchem.ncbi.nlm.nih.gov/compound/6437862,https://www.ebi.ac.uk/unichem/rest/inchikey/OMFNSKIUKYOYRG-DEDYPNTBSA-N,,,cell body,20,"77,49",25219,yes,well level
ESP0025729,A11,,,,,,,,,,,,,,,,,,positive,cell body,0,"-7,53",10472,,
ESP0025729,A12,,,,,,,,,,,,,,,,,,negative,cell body,0,"101,98",29467,,
ESP0025729,B3,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_A58955223,sulforaphane,CS(=O)CCCCN=C=S,1-isothiocyanato-4-methylsulfinyl-butane,9577379,https://pubchem.ncbi.nlm.nih.gov/compound/9577379,https://www.ebi.ac.uk/unichem/rest/inchikey/SUVMJBTUFCVSAD-SNVBAGLBSA-N,BRD-A58955223-001-03-8,,cell body,"6,3","9,75",13470,yes,well level
ESP0025729,B5,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K36756879,ETHAVERINE HYDROCHLORIDE,CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC,"1-[(3,4-diethoxyphenyl)methyl]-6,7-diethoxy-isoquinoline",3280,https://pubchem.ncbi.nlm.nih.gov/compound/3280,https://www.ebi.ac.uk/unichem/rest/inchikey/ZOWYFYXTIWQBEP-UHFFFAOYSA-N,"BRD-K36756879-003-08-7,BRD-K36756879-001-09-9",,cell body,"6,3","84,67",26464,yes,well level
ESP0025729,B6,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K78781788,Barnidipine HCl,COC(=O)C1=C(C)NC(=C([C@H]1c2cccc(c2)[N+](=O)[O-])C(=O)O[C@H]3CCN(Cc4ccccc4)C3)C,"O5-[(3S)-1-benzylpyrrolidin-3-yl] O3-methyl (4S)-2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",443869,https://pubchem.ncbi.nlm.nih.gov/compound/443869,https://www.ebi.ac.uk/unichem/rest/inchikey/VXMOONUMYLCFJD-DHLKQENFSA-N,BRD-K78781788-003-01-9,,cell body,"6,3","-36,05",5525,yes,well level
ESP0025729,B7,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K14658796,drotaverine,CCOc1ccc(\C=C2\NCCc3cc(OCC)c(OCC)cc23)cc1OCC,"(1E)-1-[(3,4-diethoxyphenyl)methylene]-6,7-diethoxy-3,4-dihydro-2H-isoquinoline",6437862,https://pubchem.ncbi.nlm.nih.gov/compound/6437862,https://www.ebi.ac.uk/unichem/rest/inchikey/OMFNSKIUKYOYRG-DEDYPNTBSA-N,,,cell body,"6,3","45,16",19611,yes,well level
ESP0025729,B11,,,,,,,,,,,,,,,,,,positive,cell body,0,"3,69",12419,,
